,minimum,mean,median,maximum,CV,names
sigma,0.018574977245145674,0.04547985372755746,0.042295958880081946,0.09785106473756067,0.3662153104988623,sigma
f1,0.01688282686121323,0.03190452012011784,0.03086752243230806,0.06051578855051576,0.2442913433067042,f1
K2,0.02381596583946083,0.11846197353488667,0.12053036239336451,0.25639191272212003,0.4901866565772695,K2
b2,0.02121163162530637,0.05740878395532258,0.049878767424938714,0.13947003707145023,0.4142626303373501,b2
a2,0.0276339661841299,0.0830026296168628,0.07780718635110292,0.17772513595281864,0.43596346763466687,a2
d2,0.017151258153822846,0.04550053836104304,0.041511597516263064,0.10300984700520832,0.35474118025391527,d2
e2,0.02001649145986517,0.05239314328841249,0.050797286688112786,0.11081400750910197,0.37415348608795607,e2
g2,0.022188720703124998,0.04393523177505107,0.04226026812803396,0.10399323108149516,0.3211828912974672,g2
c3,0.02679532245524878,0.18755694216835866,0.18920794318704043,0.39807147868628645,0.5235804640549987,c3
b3,0.02522219190410535,0.16466403091346427,0.15550515044695445,0.3676580690870098,0.5475271390160862,b3
d4,0.20820946786917893,0.3546814198823468,0.35509717626479065,0.527476806640625,0.23017928488969194,d4
c41,0.021305027382046537,0.037520786685533304,0.03695957557827817,0.06864686255361518,0.23031636791627966,c41
c42,0.17190353094362745,0.33591062048841785,0.3549522681375151,0.4681216341777913,0.24525071522896824,c42
e5,0.022065740847120097,0.05088319834867659,0.047254243738511004,0.11140584704945389,0.31588025910933554,e5
c51,0.019665029581310722,0.03719740456479993,0.03529013241038603,0.06976626498027905,0.24755027855884806,c51
c52,0.01947950176164215,0.043976692760328825,0.04187738156786158,0.07798083735447298,0.2940716860999338,c52
K6,0.022368507755612832,0.0434533611176333,0.0427689974915747,0.09006805123634709,0.2554349219491115,K6
f6,0.01625895182291659,0.04435235832878097,0.04071381213618255,0.09400383444393384,0.3645021298182308,f6
b6,0.0205721986060049,0.040447554422200986,0.03883307961856622,0.07845178940716907,0.25946975693668045,b6
c6,0.014942958794751215,0.03425480837325425,0.03255039008122593,0.06816066367953433,0.26920833952326106,c6
K7,0.018024878408394618,0.050185963986329796,0.050316949071326764,0.12725430357689949,0.3612835460672301,K7
g7,0.019975740006826503,0.051001016609196245,0.05117498659620098,0.08665276022518381,0.2500509028769846,g7
b7,0.026600377351335025,0.0664397308651706,0.061347297219669084,0.1389702292049632,0.3415085600568221,b7
c7,0.018315740847120093,0.03414442709779912,0.03349615544744519,0.059824467631219624,0.2516337258036114,c7
